,Time,262800 __DutyCycle_1,277400 __DutyCycle_1,292000 __DutyCycle_1,262800 __DutyCycle_2,277400 __DutyCycle_2,292000 __DutyCycle_2,262800 __DutyCycle_3,277400 __DutyCycle_3,292000 __DutyCycle_3,262800 __DutyCycle_4,277400 __DutyCycle_4,292000 __DutyCycle_4,262800 __DutyCycle_5,277400 __DutyCycle_5,292000 __DutyCycle_5
10,259.37424601000026,9.382443301175769e-07,7.608424853478013e-06,8.647177881104806e-05,1.8308023796986816e-07,2.2259723131412557e-07,1.1475403142169327e-06,1.8308023796986816e-07,1.8308023796986816e-07,1.8308023796986816e-07,1.1529251520148165e-07,1.1529251520148165e-07,1.1529251520148165e-07,1.8308023796986816e-07,1.8308023796986816e-07,1.8308023796986816e-07
11,285.3116706110003,1.2488030094459646e-06,1.0126800728316177e-05,0.00011509229044714964,2.436797893468068e-07,2.962769038994395e-07,1.527375868115577e-06,2.436797893468068e-07,2.436797893468068e-07,2.436797893468068e-07,1.534543349057671e-07,1.534543349057671e-07,1.534543349057671e-07,2.436797893468068e-07,2.436797893468068e-07,2.436797893468068e-07
12,313.84283767210036,1.6621564620233897e-06,1.3478749179118843e-05,0.00015318492062299516,3.2433778651697054e-07,3.9434453980025097e-07,2.0329367664828624e-06,3.2433778651697054e-07,3.2433778651697054e-07,3.2433778651697054e-07,2.042477145192123e-07,2.042477145192123e-07,2.042477145192123e-07,3.2433778651697054e-07,3.2433778651697054e-07,3.2433778651697054e-07
13,345.2271214393104,2.212329642370392e-06,1.7940175137454162e-05,0.00020388396015413868,4.3169357066830116e-07,5.248725482021044e-07,2.705837925831567e-06,4.3169357066830116e-07,4.3169357066830116e-07,4.3169357066830116e-07,2.718536988854936e-07,2.718536988854936e-07,2.718536988854936e-07,4.3169357066830116e-07,4.3169357066830116e-07,4.3169357066830116e-07
14,379.74983358324147,2.9446096757590468e-06,2.3878302210400548e-05,0.00027136039378150567,5.745841014093145e-07,6.986053009416793e-07,3.6014686665142293e-06,5.745841014093145e-07,5.745841014093145e-07,5.745841014093145e-07,3.6183725693472724e-07,3.6183725693472724e-07,3.6183725693472724e-07,5.745841014093145e-07,5.745841014093145e-07,5.745841014093145e-07
15,417.7248169415656,3.919273568464554e-06,3.178189464325687e-05,0.00036116446246459155,7.647713663461175e-07,9.298435479365708e-07,4.7935519379427305e-06,7.647713663461175e-07,7.647713663461175e-07,7.647713663461175e-07,4.816053600364967e-07,4.816053600364967e-07,4.816053600364967e-07,7.647713663461175e-07,7.647713663461175e-07,7.647713663461175e-07
16,459.49729863572225,5.216549735953535e-06,4.2301479265760555e-05,0.00048068116388833015,1.0179105597307725e-06,1.2376215718923333e-06,6.380212567824728e-06,1.0179105597307725e-06,1.0179105597307725e-06,1.0179105597307725e-06,6.41016683178286e-07,6.41016683178286e-07,6.41016683178286e-07,1.0179105597307725e-06,1.0179105597307725e-06,1.0179105597307725e-06
17,505.4470284992945,6.943221704247549e-06,5.6302874725688845e-05,0.0006397357269039006,1.3548387267636741e-06,1.6472739747808163e-06,8.492053960806878e-06,1.3548387267636741e-06,1.3548387267636741e-06,1.3548387267636741e-06,8.531931148247907e-07,8.531931148247907e-07,8.531931148247907e-07,1.3548387267636741e-06,1.3548387267636741e-06,1.3548387267636741e-06
18,555.991731349224,9.241417469052493e-06,7.493842795891492e-05,0.0008513980872504323,1.8032899409270442e-06,2.192521062704955e-06,1.1302907936272533e-05,1.8032899409270442e-06,1.8032899409270442e-06,1.8032899409270442e-06,1.135599875468074e-06,1.135599875468074e-06,1.135599875468074e-06,1.8032899409270442e-06,1.8032899409270442e-06,1.8032899409270442e-06
19,611.5909044841464,1.2300307838386537e-05,9.974181054850373e-05,0.0011330511471598914,2.4001781950833134e-06,2.9182444756248316e-06,1.5044142320896903e-05,2.4001781950833134e-06,2.4001781950833134e-06,2.4001781950833134e-06,1.5114831501961135e-06,1.5114831501961135e-06,1.5114831501961135e-06,2.4001781950833134e-06,2.4001781950833134e-06,2.4001781950833134e-06
