Vane,RPM corr [1/min],ER [ - ],M corr [kg/s],eta [fraction]
0,34153.8,1.656858,0.033085,0.55332
0,34153.8,1.77207,0.034618,0.539339
0,34153.8,1.921845,0.036168,0.522002
0,34153.8,2.116553,0.037654,0.504638
0,34153.8,2.369673,0.038983,0.4905
0,34153.8,2.698729,0.040044,0.478696
0,34153.8,3,0.04058,0.464984
0,35948.7,1.039157,0.001,0.01
0,35948.7,1.069157,0.008141,0.01
0,35948.7,1.099157,0.012236,0.01
0,35948.7,1.129157,0.015167,0.01
0,35948.7,1.159157,0.017474,0.079927
0,35948.7,1.189157,0.019388,0.243368
0,35948.7,1.251769,0.022574,0.419263
0,35948.7,1.314381,0.025055,0.498746
0,35948.7,1.376993,0.027074,0.538163
0,35948.7,1.439605,0.028759,0.556892
0,35948.7,1.502217,0.030192,0.564098
0,35948.7,1.564829,0.031426,0.564736
0,35948.7,1.646225,0.032793,0.560237
0,35948.7,1.752039,0.034258,0.550404
0,35948.7,1.889597,0.035765,0.536439
0,35948.7,2.068424,0.037242,0.521136
0,35948.7,2.300897,0.038598,0.507888
0,35948.7,2.603114,0.03973,0.497453
0,35948.7,2.995995,0.040519,0.481351
0,35948.7,3,0.040524,0.481115
0,37743.6,1.043093,0.001,0.01
0,37743.6,1.073093,0.007966,0.01
0,37743.6,1.103093,0.01206,0.01
0,37743.6,1.133093,0.015005,0.01
0,37743.6,1.163093,0.017327,0.01
0,37743.6,1.193093,0.019252,0.171442
0,37743.6,1.25512,0.02243,0.37413
0,37743.6,1.317148,0.024907,0.470065
0,37743.6,1.379176,0.026924,0.520228
0,37743.6,1.441203,0.028609,0.546396
0,37743.6,1.503231,0.030042,0.558988
0,37743.6,1.565259,0.031277,0.563638
0,37743.6,1.645895,0.032646,0.562968
0,37743.6,1.750722,0.034115,0.556575
0,37743.6,1.886997,0.035629,0.545499
0,37743.6,2.064154,0.037115,0.53247
0,37743.6,2.294459,0.038483,0.520961
0,37743.6,2.593855,0.039632,0.511949
0,37743.6,2.983069,0.040441,0.497203
0,37743.6,3,0.040464,0.496232
0,39538.5,1.047226,0.001,0.01
0,39538.5,1.077226,0.007792,0.01
0,39538.5,1.107226,0.011878,0.01
0,39538.5,1.137226,0.014836,0.01
0,39538.5,1.167226,0.017171,0.01
0,39538.5,1.197226,0.019108,0.09342
