Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
130.00	0.20000	2.6352	0.37948	523.85	599.75	2.8780	0.75427	0.94678	308.11	5.2132	1.9843e-05	0.025441	vapor
140.00	0.20000	2.5706	0.38901	531.45	609.25	2.9013	0.76233	0.95459	311.63	4.9181	2.0290e-05	0.026284	vapor
150.00	0.20000	2.5092	0.39854	539.13	618.84	2.9242	0.77021	0.96227	315.10	4.6469	2.0733e-05	0.027125	vapor
160.00	0.20000	2.4506	0.40806	546.88	628.50	2.9468	0.77794	0.96980	318.54	4.3969	2.1173e-05	0.027965	vapor
170.00	0.20000	2.3948	0.41758	554.72	638.23	2.9690	0.78552	0.97720	321.93	4.1659	2.1609e-05	0.028802	vapor
180.00	0.20000	2.3414	0.42709	562.62	648.04	2.9909	0.79294	0.98446	325.29	3.9520	2.2042e-05	0.029638	vapor
190.00	0.20000	2.2904	0.43660	570.60	657.92	3.0124	0.80022	0.99159	328.60	3.7535	2.2471e-05	0.030471	vapor
200.00	0.20000	2.2416	0.44611	578.65	667.87	3.0337	0.80735	0.99858	331.89	3.5688	2.2896e-05	0.031301	vapor
210.00	0.20000	2.1949	0.45561	586.77	677.89	3.0546	0.81434	1.0055	335.13	3.3967	2.3318e-05	0.032129	vapor
220.00	0.20000	2.1500	0.46511	594.96	687.98	3.0753	0.82120	1.0122	338.34	3.2360	2.3737e-05	0.032954	vapor
230.00	0.20000	2.1070	0.47461	603.22	698.14	3.0957	0.82792	1.0188	341.53	3.0856	2.4152e-05	0.033776	vapor
240.00	0.20000	2.0657	0.48410	611.54	708.36	3.1158	0.83452	1.0253	344.67	2.9448	2.4564e-05	0.034595	vapor
250.00	0.20000	2.0260	0.49359	619.92	718.64	3.1357	0.84099	1.0317	347.79	2.8125	2.4972e-05	0.035410	vapor
260.00	0.20000	1.9878	0.50308	628.37	728.99	3.1553	0.84733	1.0379	350.88	2.6882	2.5377e-05	0.036223	vapor
270.00	0.20000	1.9510	0.51257	636.89	739.40	3.1746	0.85356	1.0441	353.94	2.5712	2.5779e-05	0.037033	vapor
280.00	0.20000	1.9155	0.52205	645.46	749.87	3.1937	0.85967	1.0501	356.97	2.4609	2.6178e-05	0.037840	vapor
290.00	0.20000	1.8813	0.53154	654.10	760.40	3.2126	0.86567	1.0561	359.98	2.3568	2.6573e-05	0.038643	vapor
300.00	0.20000	1.8484	0.54102	662.79	770.99	3.2312	0.87156	1.0619	362.96	2.2583	2.6965e-05	0.039443	vapor
310.00	0.20000	1.8165	0.55050	671.54	781.64	3.2496	0.87734	1.0676	365.91	2.1652	2.7354e-05	0.040240	vapor
320.00	0.20000	1.7858	0.55998	680.35	792.34	3.2678	0.88301	1.0732	368.84	2.0769	2.7740e-05	0.041034	vapor
330.00	0.20000	1.7561	0.56946	689.21	803.10	3.2858	0.88858	1.0787	371.74	1.9931	2.8123e-05	0.041825	vapor
340.00	0.20000	1.7273	0.57893	698.13	813.92	3.3036	0.89405	1.0842	374.62	1.9136	2.8502e-05	0.042612	vapor
350.00	0.20000	1.6995	0.58841	707.11	824.79	3.3212	0.89942	1.0895	377.48	1.8380	2.8879e-05	0.043396	vapor
