Nozzle	RPM	PRT	Q	EtaT
0.4	21894.75	1.617851715	0.790264	0.857471
0.4	21894.75	1.737129272	0.861184	0.890252735
0.4	21894.75	1.860648771	0.919632	0.90599864
0.4	21894.75	1.988410212	0.968872	0.91240196
0.4	21894.75	2.120413595	1.011	0.913457053
0.4	21894.75	2.25665892	1.047464	0.911366713
0.4	21894.75	2.440122044	1.088072	0.905969975
0.4	21894.75	2.689337606	1.131776	0.896651645
0.4	21894.75	3.031432692	1.176904	0.883042385
0.4	21894.75	3.506765588	1.221136	0.864996665
0.4	21894.75	4.176427664	1.261688	0.84243731
0.4	21894.75	5.134416106	1.295648	0.815105233
0.4	21894.75	6.527554888	1.3206	0.782354368
0.4	21894.75	8.588328442	1.335304	0.743054653
0.4	21894.75	11.68932167	1.340352	0.695561158
0.4	21894.75	16	1.33884	0.642270718
0.4	23736.85	1.187681477	0.008	0.061025
0.4	23736.85	1.253969957	2.47E-01	0.061025
0.4	23736.85	1.322058437	0.405896	0.250023268
0.4	23736.85	1.391946917	0.521912	0.490895263
0.4	23736.85	1.463635397	0.612424	0.636674428
0.4	23736.85	1.537123877	0.686072	0.7297133
0.4	23736.85	1.679880394	0.794488	0.828734338
0.4	23736.85	1.828974941	0.877496	0.877560755
0.4	23736.85	1.984407516	0.94376	0.902027435
0.4	23736.85	2.14617812	0.998096	0.91361471
0.4	23736.85	2.314286753	1.043504	0.917981713
0.4	23736.85	2.48873026	1.081944	0.918129448
0.4	23736.85	2.724985467	1.123752	0.914688545
0.4	23736.85	3.048131892	1.167448	0.90694679
0.4	23736.85	3.495284507	1.210928	0.89440916
0.4	23736.85	4.122313001	1.251552	0.876714035
0.4	23736.85	5.014751124	1.28648	0.853445773
0.4	23736.85	6.305537833	1.313168	0.823907593
0.4	23736.85	8.204323334	1.330064	0.786979355
0.4	23736.85	11.04581843	1.337224	0.741039283
0.4	23736.85	15.37026536	1.336824	0.683732435
0.4	23736.85	16	1.336472	0.67623323
0.4	25578.95	1.221186335	0.008	0.061025
0.4	25578.95	1.288390715	2.32E-01	0.061025
0.4	25578.95	1.357395095	0.386696	0.142440215
0.4	25578.95	1.428199475	0.502424	0.392866475
0.4	25578.95	1.500803855	0.593768	0.552526115
0.4	25578.95	1.575208235	0.668576	0.659269063
0.4	25578.95	1.758032024	0.803088	0.800735248
0.4	25578.95	1.950891008	0.900712	0.866924938
0.4	25578.95	2.153785186	0.975536	0.899513735
0.4	25578.95	2.366714559	1.034848	0.915296023
0.4	25578.95	2.589679126	1.082912	0.921990403
0.4	25578.95	2.822678887	1.122456	0.923483188
0.4	25578.95	3.140582965	1.164144	0.920967283
0.4	25578.95	3.579209934	1.206024	0.913611403
0.4	25578.95	4.192276725	1.245624	0.900716563
0.4	25578.95	5.061672034	1.280184	0.881590393
0.4	25578.95	6.314274404	1.307184	0.855351995
0.4	25578.95	8.149477663	1.324896	0.820772083
0.4	25578.95	10.88477343	1.33312	0.776153908
0.4	25578.95	15.03136937	1.333624	0.71907197
0.4	25578.95	16	1.33316	0.707018338
0.4	27421.05	1.258318576	0.008	0.061025
0.4	27421.05	1.326523456	2.17E-01	0.061025
0.4	27421.05	1.396528336	3.67E-01	0.061025
0.4	27421.05	1.468333216	0.482032	0.294998653
0.4	27421.05	1.541938096	0.573632	0.46467671
0.4	27421.05	1.617342976	0.6492	0.582592393
0.4	27421.05	1.842792675	0.809368	0.770083543
0.4	27421.05	2.082950357	0.92	0.854307928
0.4	27421.05	2.337813478	1.00168	0.895373848
0.4	27421.05	2.607378809	1.0644	0.915677488
0.4	27421.05	2.891652636	1.113768	0.924985895
0.4	27421.05	3.19062833	1.153288	0.928038718
0.4	27421.05	3.601284267	1.193696	0.926601058
0.4	27421.05	4.172292379	1.232744	0.919627745
0.4	27421.05	4.977387772	1.267808	0.90611771
0.4	27421.05	6.130130328	1.296304	0.88497617
0.4	27421.05	7.808028661	1.316248	0.854856973
0.4	27421.05	10.29236758	1.326936	0.81401486
0.4	27421.05	14.03420924	1.329424	0.760064023
0.4	27421.05	16	1.328784	0.73447169
0.4	29263.15	1.299362891	0.008	0.061025
0.4	29263.15	1.368656651	2.04E-01	0.061025
0.4	29263.15	1.439750411	3.48E-01	0.061025
0.4	29263.15	1.512644171	0.461088	0.199029335
0.4	29263.15	1.587337931	0.55236	0.375194503
0.4	29263.15	1.663831691	0.62828	0.501752683
0.4	29263.15	1.874637442	0.780344	0.702513523
0.4	29263.15	2.098010299	0.888384	0.80482442
0.4	29263.15	2.333955897	0.969608	0.86138708
0.4	29263.15	2.582468284	1.032864	0.894042028
