% kg/s,%PRC
0.0749375,1.009401973
0.0749375,1.009401973
0.0749375,1.009401973
0.0749375,1.010326757
0.0749375,1.010326757
0.0749375,1.010326757
0.0749375,1.010326757
0.075375,1.009093711
0.075375,1.009093711
0.075375,1.009093711
0.0745,1.010789149
0.0745,1.010789149
0.0745,1.010789149
0.07525,1.010172626
0.07525,1.010172626
0.07525,1.010172626
0.0754375,1.010326757
0.0754375,1.010326757
0.0754375,1.010326757
0.0748125,1.010641579
0.0748125,1.010641579
0.0748125,1.010641579
0.0749375,1.01280074
0.0749375,1.01280074
0.0749375,1.01280074
0.0754375,1.012183837
0.0754375,1.012183837
0.0754375,1.012183837
0.0749375,1.012954966
0.0749375,1.012954966
0.0749375,1.012954966
0.075125,1.010024676
0.075125,1.010024676
0.075125,1.010024676
0.075125,1.010024676
0.0754375,1.011875386
0.0754375,1.011875386
0.0754375,1.011875386
0.0754375,1.011104257
0.0754375,1.011104257
0.0754375,1.011104257
0.0756875,1.012183837
0.0756875,1.012183837
0.0756875,1.012183837
0.0761875,1.010487353
0.0761875,1.010487353
0.0761875,1.010487353
0.0751875,1.012492289
0.0751875,1.012492289
0.0751875,1.012492289
0.0751875,1.011412708
0.0751875,1.011256746
0.0751875,1.011256746
0.0753125,1.010485736
0.0753125,1.010485736
0.0753125,1.010485736
0.0753125,1.01002313
0.0753125,1.01002313
0.0753125,1.01002313
0.0753125,1.01002313
0.0751875,1.012644564
0.0751875,1.012644564
0.0751875,1.012644564
0.0755625,1.010177332
0.0755625,1.010177332
0.0755625,1.010177332
0.074375,1.010639938
0.074375,1.010639938
0.074375,1.010639938
0.0748125,1.010639938
0.0748125,1.010639938
0.0748125,1.010639938
0.0753125,1.009868928
0.0753125,1.009868928
0.0753125,1.009868928
0.0749375,1.009868928
0.0749375,1.009868928
0.0749375,1.009868928
0.0749375,1.012027756
0.0749375,1.012027756
0.0749375,1.012027756
0.0749375,1.012027756
0.075,1.01156515
0.075,1.01172116
0.0741875,1.011258482
0.0741875,1.011258482
0.0741875,1.011258482
0.0741875,1.011258482
0.0744375,1.010333128
0.0744375,1.010333128
0.0744375,1.010333128
0.0749375,1.009407773
0.0749375,1.009407773
0.0749375,1.009407773
0.074875,1.009099321
0.074875,1.009099321
0.074875,1.009099321
0.0749375,1.011566934
0.0749375,1.011566934
0.0749375,1.011566934
0.07525,1.010487353
0.07525,1.010487353
0.07525,1.010487353
0.0749375,1.01172116
0.0749375,1.01172116
0.0749375,1.01172116
0.0749375,1.01172116
0.0758125,1.010024676
0.0758125,1.010024676
0.0758125,1.010024676
0.0759375,1.011258482
0.0759375,1.011258482
0.0759375,1.011258482
0.0750625,1.010950031
0.0750625,1.010950031
0.075375,1.012033323
0.075375,1.012033323
0.075375,1.012033323
0.075375,1.012033323
0.0755625,1.009873496
0.0755625,1.009873496
0.0755625,1.009873496
0.07425,1.012187596
0.07425,1.012187596
0.07425,1.012187596
0.0745625,1.011107683
0.0745625,1.011107683
0.0745625,1.011107683
0.075,1.010799136
0.075,1.010799136
0.075,1.010799136
0.0753125,1.010953409
0.0753125,1.010953409
0.0753125,1.010953409
0.0753125,1.010953409
0.0753125,1.012650417
0.0753125,1.012650417
0.0753125,1.012650417
0.075375,1.010182043
0.075375,1.010182043
0.075375,1.010182043
0.07475,1.013113237
0.07475,1.013113237
0.07475,1.013113237
0.0751875,1.011724776
0.0751875,1.011724776
0.0751875,1.011724776
0.07525,1.010965251
0.07525,1.010965251
0.07525,1.010965251
0.0753125,1.012509653
0.0753125,1.012509653
0.0753125,1.012509653
0.0755625,1.014208494
0.0755625,1.014208494
0.0755625,1.014208494
0.0758125,1.010965251
0.0758125,1.010965251
0.0758125,1.010965251
0.07475,1.011428571
0.07475,1.011428571
0.07475,1.011428571
0.07475,1.011428571
0.0749375,1.010501931
0.0749375,1.010501931
0.0749375,1.010501931
0.07525,1.011737452
0.07525,1.011737452
0.07525,1.011737452
0.0749375,1.011737452
0.0749375,1.011737452
0.0749375,1.011737452
0.07525,1.013899614
0.07525,1.013899614
0.07525,1.013899614
0.07575,1.013127413
0.07575,1.013127413
0.07575,1.013127413
0.0750625,1.013745174
0.0750625,1.013432145
0.0750625,1.013432145
0.075125,1.01312336
0.075125,1.01312336
0.075125,1.01312336
0.0751875,1.012042612
0.0751875,1.012042612
0.0751875,1.012042612
0.0751875,1.012042612
0.075375,1.011733827
0.075375,1.011733827
0.075375,1.011733827
0.0755625,1.012042612
0.0755625,1.012042612
0.0755625,1.012042612
0.07575,1.01127065
0.07575,1.01127065
0.07575,1.01127065
0.075,1.013277752
0.075,1.013277752
0.075,1.013277752
0.0755625,1.01127065
0.0755625,1.01127065
0.0755625,1.01127065
0.0756875,1.01127065
0.0756875,1.01127065
0.0756875,1.01127065
0.0756875,1.01127065
0.07475,1.012660182
0.07475,1.012660182
0.07475,1.012660182
0.074375,1.012968967
0.074375,1.013908206
0.0744375,1.013908206
0.0744375,1.012671921
0.0744375,1.012671921
0.0744375,1.012671921
0.0735,1.014371813
0.0735,1.014371813
0.0735,1.014371813
0.0740625,1.012671921
0.0740625,1.012671921
0.0740625,1.012671921
0.0748125,1.012517385
0.0748125,1.012517385
0.0748125,1.012517385
0.0753125,1.01236285
0.0753125,1.01236285
0.0753125,1.01236285
0.075625,1.01483542
0.075625,1.01483542
0.075625,1.01483542
0.075625,1.01483542
0.0759375,1.012826456
0.0759375,1.012826456
0.0759375,1.012826456
0.075,1.013599135
0.075,1.013599135
0.075,1.013599135
0.07525,1.011590172
0.07525,1.011590172
0.07525,1.011590172
0.075125,1.012671921
0.075125,1.012671921
0.075125,1.011265432
0.0750625,1.011111111
0.0750625,1.011111111
0.0750625,1.011111111
0.0749375,1.012191358
0.0749375,1.012191358
0.0749375,1.012191358
0.07575,1.010648148
0.07575,1.010648148
0.07575,1.010648148
0.074875,1.013580247
0.074875,1.013580247
0.074875,1.013580247
0.0755625,1.011728395
0.0755625,1.011728395
0.0755625,1.011728395
0.075875,1.012037037
0.075875,1.012037037
0.075875,1.012037037
0.075875,1.012037037
0.0749375,1.011419753
0.0749375,1.011419753
0.0749375,1.011419753
0.0749375,1.012191358
0.0749375,1.012191358
0.0749375,1.012191358
0.0753125,1.01095679
0.0753125,1.01095679
0.0753125,1.01095679
0.0746875,1.012808642
0.0746875,1.012808642
0.0746875,1.012808642
0.0753125,1.01235903
0.0753125,1.01235903
0.0753125,1.01235903
0.07575,1.012204542
0.07575,1.012204542
0.07575,1.012204542
0.07575,1.012204542
0.07525,1.011277615
0.07525,1.011277615
0.0749375,1.014367372
0.0749375,1.014367372
0.0749375,1.014367372
0.0749375,1.014367372
0.07525,1.011741078
0.07525,1.011741078
0.07525,1.011741078
0.07475,1.012976981
0.07475,1.012976981
0.07475,1.012976981
0.07525,1.012050054
0.07525,1.012050054
0.07525,1.012050054
0.0754375,1.012050054
0.0754375,1.012050054
0.0754375,1.012050054
0.0754375,1.011277615
0.0754375,1.011277615
0.0754375,1.011277615
0.0755,1.013903909
0.0755,1.013903909
0.0755,1.013903909
